sofifa_id,player_name,team,position,birth_year
test
222123,Aaron Long,United States,DF,1992
10141317,Ró-Ró,Qatar,DF,1990
194958,Aaron Mooy,Australia,MF,1990
233934,Aaron Ramsdale,England,GK,1998
186561,Aaron Ramsey,Wales,MF,1990
237499,Abdelhamid Sabiri,Morocco,MF,1996
210259,Abdelkarim Hassan,Qatar,DF,1993
213761,Abderrazak Hamdallah,Morocco,FW,1990
264432,Abdessamad Ezzalzouli,Morocco,FW,2001
225711,Abdou Diallo,Senegal,DF,1996
267680,Abdul Fatawu Issahaku,Ghana,FW,2004
215911,Abdulaziz Hatem,Qatar,MF,1990
241197,Abdulelah Al-Amri,Saudi Arabia,DF,1997
230713,Abdulellah Al-Malki,Saudi Arabia,MF,1994
213901,Abdullah Madu,Saudi Arabia,DF,1993
210926,Abdullah Otayf,Saudi Arabia,MF,1992
238043,Abdulrahman Al-Aboud,Saudi Arabia,MF,1995
272560,Abolfazl Jalali,IR Iran,DF,1998
271027,Achraf Dari,Morocco,DF,1999
235212,Achraf Hakimi,Morocco,DF,1998
234396,Adam Davies,Wales,GK,1992
210008,Adrien Rabiot,France,MF,1995
253281,Agustín Canobbio,Uruguay,MF,1998
268853,Ahmad Nourollahi,IR Iran,MF,1993
268779,Ahmed Alaaeldin,Qatar,FW,1993
241777,Ahmed Reda Tagnaouti,Morocco,GK,1996
268825,Aimen Dahmen,Tunisia,GK,1997
237647,Ajdin Hrustic,Australia,MF,1996
234051,Akram Afif,Qatar,FW,1996
237604,Alan Franco,Ecuador,MF,1998
263578,Alejandro Balde,Spain,DF,2003
215716,Aleksandar Mitrović,Serbia,FW,1994
16132215,Alex Sandro,Brazil,DF,1991
212462,Alex Telles,Brazil,DF,1992
245235,Alexander Bah,Denmark,DF,1997
212219,Alexander Djiku,Ghana,DF,1994
237923,Alexander Domínguez,Ecuador,GK,1987
239837,Alexis Mac Allister,Argentina,MF,1998
233260,Alexis Vega,Mexico,FW,1997
201976,Alfred Gomis,Senegal,GK,1993
156433,Alfredo Talavera,Mexico,GK,1982
252711,Ali Abdi,Tunisia,DF,1993
210259,Ali Al Hassan,Saudi Arabia,MF,1997
229851,Ali Al-Bulaihi,Saudi Arabia,DF,1989
270564,Ali Assadalla,Qatar,MF,1993
243551,Ali Gholizadeh,IR Iran,MF,1996
241793,Ali Karimi,IR Iran,MF,1994
15836365,Ali Maâloul,Tunisia,DF,1990
257946,Alidu Seidu,Ghana,DF,2000
241790,Alireza Beiranvand,IR Iran,GK,1992
215871,Alireza Jahanbakhsh,IR Iran,MF,1993
79270,Alisson,Brazil,GK,1992
256107,Alistair Johnston,Canada,DF,1998
259094,Almoez Ali,Qatar,FW,1996
193105,Alphonse Areola,France,GK,1993
234396,Alphonso Davies,Canada,MF,2000
257057,Amadou Onana,Belgium,MF,2001
237419,Amir Abedzadeh,IR Iran,GK,1993
260843,Anass Zaroury,Morocco,FW,2000
227236,Andre-Frank Zambo Anguissa,Cameroon,MF,1995
213661,Andreas Christensen,Denmark,DF,1996
201943,Andreas Cornelius,Denmark,FW,1993
240017,Andreas Skov Olsen,Denmark,FW,1999
216354,Andrej Kramarić,Croatia,FW,1991
183244,Andrew Redmayne,Australia,GK,1989
218212,Andries Noppert,Netherlands,GK,1994
220746,Andrija Živković,Serbia,DF,1996
176571,André Ayew,Ghana,MF,1989
257057,André Onana,Cameroon,GK,1996
218868,André Silva,Portugal,FW,1995
171897,Andrés Guardado,Mexico,MF,1986
255210,Anis Ben Slimane,Tunisia,MF,2001
253004,Ansu Fati,Spain,FW,2002
188335,Ante Budimir,Croatia,FW,1991
14625075,Anthony Contreras,Costa Rica,FW,2000
255119,Anthony Hernández,Costa Rica,FW,2001
194765,Antoine Griezmann,France,MF,1991
241236,Antoine Semenyo,Ghana,FW,2000
229348,Antonee Robinson,United States,DF,1997
205452,Antonio Rüdiger,Germany,DF,1993
255475,Antony,Brazil,FW,2000
218868,António Silva,Portugal,DF,2003
236764,Ao Tanaka,Japan,MF,1998
257186,Ardon Jasari,Switzerland,FW,2002
205175,Arkadiusz Milik,Poland,FW,1994
247497,Armel Bella Kotchap,Germany,DF,2001
257278,Arthur Theate,Belgium,DF,2000
177790,Artur Jędrzejczyk,Poland,DF,1987
257842,Asiri Haitham,Saudi Arabia,FW,2001
239878,Assim Madibo,Qatar,MF,1996
134744,Atiba Hutchinson,Canada,MF,1983
241637,Aurélien Tchouaméni,France,MF,2000
212830,Awer Mabil,Australia,MF,1995
229942,Axel Disasi,France,DF,1998
177413,Axel Witsel,Belgium,MF,1989
252162,Ayase Ueda,Japan,FW,1998
195834,Aymen Mathlouthi,Tunisia,GK,1984
212218,Aymeric Laporte,Spain,DF,1994
241412,Ayrton Preciado,Ecuador,MF,1994
202157,Aziz Behich,Australia,DF,1990
255125,Azzedine Ounahi,Morocco,MF,2000
233642,Aïssa Laïdouni,Tunisia,MF,1996
209620,Baba Rahman,Ghana,DF,1994
241778,Badr Banoun,Morocco,DF,1993
164464,Bailey Wright,Australia,DF,1992
261084,Bamba Dieng,Senegal,FW,2000
199763,Bartosz Bereszyński,Poland,DF,1992
268782,Bassam Al-Rawi,Qatar,DF,1997
13327055,Bechir Ben Saïd,Tunisia,GK,1992
248687,Ben Cabango,Wales,DF,2000
205923,Ben Davies,Wales,DF,1993
231936,Ben White,England,DF,1997
226851,Benjamin Pavard,France,DF,1996
218667,Bernardo Silva,Portugal,MF,1994
257504,Bilal El Khannous,Morocco,MF,2004
197366,Bilel Ifa,Tunisia,DF,1990
241673,Borna Barišić,Croatia,DF,1992
243388,Borna Sosa,Croatia,DF,1998
268771,Boualem Khoukhi,Qatar,DF,1990
246242,Boulaye Dia,Senegal,FW,1996
268719,Brandon Aguilera,Costa Rica,MF,2003
222357,Breel Embolo,Switzerland,FW,1997
247361,Brenden Aaronson,United States,MF,2000
152536,Brennan Johnson,Wales,FW,2001
248298,Bruno Fernandes,Portugal,FW,1994
247851,Bruno Guimarães,Brazil,MF,1997
215455,Bruno Petković,Croatia,FW,1994
243014,Bryan Mbeumo,Cameroon,FW,1999
198335,Bryan Oviedo,Costa Rica,DF,1990
261505,Bryan Ruiz,Costa Rica,MF,1985
246669,Bukayo Saka,England,FW,2001
196978,Callum Wilson,England,FW,1992
228174,Cameron Carter-Vickers,United States,DF,1997
246006,Cameron Devlin,Australia,MF,1998
221860,Carlos Gruezo,Ecuador,MF,1995
229466,Carlos Martínez,Costa Rica,DF,1999
234153,Carlos Soler,Spain,MF,1997
200145,Casemiro,Brazil,MF,1992
15971785,Celso Borges,Costa Rica,MF,1988
251470,Charles De Ketelaere,Belgium,FW,2001
235389,Charly Rodríguez,Mexico,MF,1997
186801,Cheikhou Kouyaté,Senegal,MF,1989
247686,Cho Guesung,Korea Republic,FW,1998
76926,Cho Hyun-woo,Korea Republic,GK,1991
15357855,Cho Yumin,Korea Republic,FW,1996
173752,Chris Gunter,Wales,DF,1989
233201,Chris Mepham,Wales,DF,1997
231138,Christian Bassogog,Cameroon,MF,1995
190460,Christian Eriksen,Denmark,MF,1992
234913,Christian Fassnacht,Switzerland,FW,1993
209846,Christian Günter,Germany,DF,1993
210697,Christian Nørgaard,Denmark,MF,1994
227796,Christian Pulisic,United States,FW,1998
260658,Christopher Wooh,Cameroon,DF,2001
242516,Cody Gakpo,Netherlands,FW,1999
232183,Collins Fai,Cameroon,DF,1992
225147,Connor Roberts,Wales,DF,1995
202048,Conor Coady,England,DF,1993
238216,Conor Gallagher,England,MF,2000
209888,Craig Goodwin,Australia,MF,1991
226807,Cristian Roldan,United States,FW,1995
232488,Cristian Romero,Argentina,DF,1998
20801,Cristiano Ronaldo,Portugal,FW,1985
226777,Cyle Larin,Canada,FW,1995
184432,César Azpilicueta,Spain,DF,1989
229980,César Montes,Mexico,DF,1997
232730,Daichi Kamada,Japan,FW,1996
246321,Daizen Maeda,Japan,FW,1997
190815,Daley Blind,Netherlands,DF,1990
223779,Damian Szymański,Poland,MF,1995
13697394,Dani Alves,Brazil,DF,1983
204963,Dani Carvajal,Spain,DF,1992
244260%3Fprofile%3Dnew,Dani Olmo,Spain,FW,1998
268832,Daniel Afriyie Barnieh,Ghana,FW,2001
212883,Daniel Amartey,Ghana,DF,1994
268716,Daniel Chacón,Costa Rica,MF,2001
232104,Daniel James,Wales,FW,1997
244112,Daniel Kyereh,Ghana,MF,1996
237580,Daniel Schmidt,Japan,GK,1992
172522,Daniel Wass,Denmark,DF,1989
273106,Danilo,Brazil,DF,1991
243276,Danilo Pereira,Portugal,DF,1991
268834,Danlad Ibrahim,Ghana,GK,2002
181481,Danny Vukovic,Australia,GK,1985
207998,Danny Ward,Wales,GK,1993
212127,Darko Lazović,Serbia,DF,1990
253072,Darwin Núñez,Uruguay,FW,1999
236703,David Raum,Germany,DF,1998
220901,David Raya,Spain,FW,1995
193728,David Wotherspoon,Canada,MF,1990
203483,Davy Klaassen,Netherlands,MF,1993
247228,Dayne St. Clair,Canada,GK,1997
229558,Dayot Upamecano,France,DF,1998
212722,DeAndre Yedlin,United States,DF,1993
234378,Declan Rice,England,MF,1999
195086,Dejan Lovren,Croatia,DF,1989
185349,Denis Odoi,Ghana,DF,1988
